海辰280AhOCV-SOC电压,海辰280Ah0.5C放电电压,海辰280Ah0.04C放电电压,海辰280Ah0.5P放电电压,亿纬314Ah0.5P放电电压1,亿纬314Ah0.5P放电电压2,海辰280Ah模拟放电曲线
3.025,2.5,2.5,2.5,2.4996,2.4996,2.5
3.03025,2.525,2.5873,2.5213,2.5546,2.5556,2.5873
3.0355,2.5483,2.6417,2.5414,2.5992,2.6005,2.6417
3.04075,2.5699,2.6816,2.5607,2.6316,2.632,2.6816
3.046,2.5908,2.7121,2.582,2.6628,2.6639,2.7121
3.05125,2.6103,2.7379,2.5999,2.6878,2.688,2.7379
3.0564999999999998,2.6291,2.7604,2.6171,2.7124,2.7133,2.7604
3.06175,2.6468,2.7806,2.6363,2.7322,2.733,2.7806
3.0669999999999997,2.664,2.799,2.6525,2.7537,2.7534,2.799
3.07225,2.68,2.816,2.668,2.7722,2.7726,2.816
3.0774999999999997,2.6956,2.8317,2.6853,2.7875,2.7879,2.8317
3.08275,2.7107,2.8462,2.6999,2.8046,2.8048,2.8462
3.088,2.7251,2.8599,2.714,2.8179,2.8182,2.8599
3.09325,2.7388,2.8729,2.7295,2.832,2.8323,2.8729
3.0985,2.752,2.885,2.7427,2.8443,2.8445,2.885
3.10375,2.7646,2.8966,2.7555,2.8571,2.8576,2.8966
3.109,2.7767,2.9077,2.7695,2.8695,2.8697,2.9077
3.1142499999999997,2.7883,2.9182,2.7814,2.8802,2.8803,2.9182
3.1195,2.7995,2.9281,2.7929,2.8912,2.891,2.9281
3.1247499999999997,2.8104,2.9375,2.8056,2.9003,2.9004,2.9375
3.13,2.8208,2.9467,2.8163,2.9105,2.9108,2.9467
3.133,2.8308,2.9556,2.8267,2.9196,2.9197,2.9556
3.1359999999999997,2.8406,2.9642,2.8381,2.9288,2.9287,2.9642
3.139,2.8498,2.9723,2.8476,2.938,2.9381,2.9723
3.142,2.8587,2.9802,2.857,2.9455,2.9454,2.9802
3.145,2.8673,2.9879,2.8669,2.9539,2.9541,2.9879
3.148,2.8756,2.9953,2.8755,2.9613,2.9613,2.9953
3.151,2.8835,3.0025,2.8839,2.9687,2.9687,3.0025
3.154,2.8914,3.0095,2.893,2.9754,2.9753,2.893
3.157,2.8989,3.0162,2.9006,2.9828,2.9827,2.9006
3.16,2.9061,3.0227,2.9081,2.9899,2.9891,2.9081
3.163,2.9131,3.0292,2.9161,2.9957,2.9954,2.9161
3.166,2.9196,3.0353,2.9231,3.0022,3.0026,2.9231
3.169,2.9263,3.0415,2.9296,3.0076,3.0078,2.9296
3.172,2.9323,3.0473,2.9368,3.0139,3.0145,2.9368
3.175,2.9384,3.0531,2.9429,3.0189,3.0191,2.9429
3.178,2.9442,3.0585,2.9488,3.025,3.0248,2.9488
3.181,2.9498,3.0639,2.9545,3.0304,3.03,2.9545
3.1839999999999997,2.9553,3.0692,2.9606,3.0356,3.0356,2.9606
3.187,2.9605,3.0745,2.9658,3.0403,3.0404,2.9658
3.19,2.9656,3.0794,2.9709,3.0445,3.045,2.9709
3.1906,2.9705,3.0843,2.9764,3.0492,3.0498,2.9764
3.1912,2.9753,3.0892,2.981,3.0533,3.0534,2.981
3.1917999999999997,2.9797,3.094,2.9856,3.0574,3.0576,2.9856
3.1924,2.9842,3.0985,2.9903,3.0618,3.0612,2.9903
3.193,2.9885,3.1029,2.9946,3.0649,3.0653,2.9946
3.1936,2.9925,3.1073,2.9986,3.069,3.0688,2.9986
3.1942,2.9965,3.1117,3.0029,3.0715,3.0712,3.0029
3.1948,3.0004,3.1159,3.0066,3.0745,3.0746,3.0066
3.1954,3.0041,3.1198,3.0101,3.0774,3.077,3.0101
3.1959999999999997,3.0078,3.1238,3.014,3.0797,3.0804,3.014
3.1966,3.0113,3.1278,3.0173,3.082,3.0821,3.0173
3.1972,3.0146,3.1315,3.0206,3.0839,3.0842,3.0206
3.1978,3.0178,3.1352,3.024,3.0863,3.0861,3.024
3.1984,3.0209,3.1387,3.0269,3.0879,3.0882,3.0269
3.199,3.0239,3.1421,3.0299,3.0897,3.0901,3.0299
3.1995999999999998,3.0269,3.1454,3.033,3.0913,3.0914,3.033
3.2002,3.0295,3.1484,3.0356,3.0928,3.0926,3.0356
3.2008,3.0323,3.1512,3.0382,3.094,3.0937,3.0382
3.2014,3.0348,3.1538,3.041,3.0949,3.0952,3.041
3.202,3.0374,3.1561,3.0434,3.0965,3.0964,3.0434
3.20215,3.0397,3.1582,3.0456,3.0971,3.0972,3.0456
3.2023,3.0422,3.16,3.0483,3.0984,3.0984,3.0483
3.20245,3.0443,3.1617,3.0504,3.0991,3.0994,3.0504
3.2026,3.0466,3.1631,3.0524,3.1003,3.1004,3.0524
3.20275,3.0487,3.1644,3.0546,3.1008,3.1008,3.0546
3.2029,3.0506,3.1654,3.0567,3.1022,3.1022,3.0567
3.20305,3.0525,3.1665,3.0585,3.1031,3.1026,3.0585
3.2032,3.0543,3.1672,3.0606,3.1035,3.1037,3.0606
3.20335,3.0562,3.1679,3.0623,3.1044,3.1047,3.0623
3.2035,3.058,3.1688,3.0641,3.1052,3.1054,3.0641
3.20365,3.0597,3.1693,3.0659,3.106,3.1062,3.0659
3.2038,3.0613,3.17,3.0675,3.1065,3.1069,3.0675
3.20395,3.0627,3.1705,3.0691,3.1075,3.1071,3.0691
3.2041,3.0641,3.171,3.0707,3.108,3.1079,3.0707
3.20425,3.0657,3.1714,3.0723,3.1089,3.1086,3.0723
3.2044,3.0671,3.1719,3.0737,3.1095,3.1091,3.0737
3.2045500000000002,3.0683,3.1723,3.075,3.11,3.1098,3.075
3.2047,3.0697,3.1728,3.0766,3.1102,3.1104,3.0766
3.20485,3.0708,3.173,3.0779,3.1111,3.111,3.0779
3.205,3.072,3.1733,3.0791,3.112,3.1114,3.0791
3.2051,3.0732,3.1737,3.0806,3.1126,3.1119,3.0806
3.2052,3.0743,3.174,3.0818,3.1129,3.1128,3.0818
3.2053000000000003,3.0754,3.1742,3.083,3.1135,3.1133,3.083
3.2054,3.0764,3.1744,3.0845,3.1138,3.1136,3.0845
3.2055,3.0773,3.1747,3.0855,3.1145,3.1142,3.0855
3.2056,3.0782,3.1751,3.0868,3.1145,3.115,3.0868
3.2056999999999998,3.0792,3.1754,3.088,3.1153,3.1153,3.088
3.2058,3.0801,3.1756,3.0892,3.1156,3.1158,3.0892
3.2059,3.081,3.1758,3.0902,3.1163,3.1161,3.0902
3.206,3.0818,3.1761,3.0915,3.1166,3.1163,3.0915
3.2060999999999997,3.0826,3.1763,3.0925,3.1168,3.1174,3.0925
3.2062,3.0834,3.1765,3.0936,3.1173,3.1176,3.0936
3.2063,3.0843,3.1767,3.0948,3.1178,3.1179,3.0948
3.2064,3.085,3.1768,3.096,3.1185,3.1185,3.096
3.2065,3.0857,3.177,3.097,3.119,3.1189,3.097
3.2066,3.0864,3.1772,3.0982,3.1193,3.1195,3.0982
3.2067,3.0871,3.1774,3.0993,3.1194,3.1197,3.0993
3.2068,3.0876,3.1775,3.1003,3.1199,3.1203,3.1003
3.2069,3.0883,3.1779,3.1016,3.1203,3.1206,3.1016
3.207,3.089,3.1779,3.1025,3.1207,3.1206,3.1025
3.20754,3.0896,3.1781,3.1037,3.121,3.1209,3.1037
3.20808,3.0901,3.1782,3.1049,3.1215,3.1215,3.1049
3.20862,3.0908,3.1784,3.106,3.1222,3.1222,3.106
3.20916,3.0913,3.1786,3.1069,3.1224,3.1224,3.1069
3.2096999999999998,3.092,3.1786,3.1083,3.1224,3.1227,3.1083
3.2102399999999998,3.0926,3.1789,3.1091,3.1232,3.1229,3.1091
3.2107799999999997,3.0931,3.1791,3.1103,3.1236,3.1233,3.1103
3.2113199999999997,3.0936,3.1791,3.1114,3.1236,3.1234,3.1114
3.2118599999999997,3.0941,3.1793,3.1125,3.1241,3.124,3.1125
3.2123999999999997,3.0947,3.1795,3.1135,3.1244,3.1247,3.1135
3.2129399999999997,3.0952,3.1796,3.1144,3.1247,3.1247,3.1144
3.2134799999999997,3.0957,3.1798,3.1156,3.125,3.125,3.1156
3.21402,3.0962,3.18,3.1166,3.1252,3.1252,3.1166
3.21456,3.0966,3.1802,3.1175,3.126,3.1261,3.1175
3.2151,3.0971,3.1803,3.1186,3.1264,3.1264,3.1186
3.21564,3.0977,3.1805,3.1195,3.1264,3.1268,3.1195
3.21618,3.0982,3.1807,3.1205,3.1268,3.1268,3.1205
3.21672,3.0985,3.1809,3.1214,3.1273,3.1271,3.1214
3.21726,3.0991,3.181,3.1224,3.1276,3.1278,3.1224
3.2178,3.0996,3.1814,3.1233,3.128,3.1283,3.1233
3.21834,3.1001,3.1816,3.1243,3.1283,3.1287,3.1243
3.21888,3.1005,3.1819,3.125,3.1291,3.1295,3.125
3.21942,3.101,3.1821,3.1258,3.1293,3.1297,3.1258
3.21996,3.1013,3.1824,3.1268,3.1303,3.1299,3.1268
3.2205,3.1019,3.1828,3.1276,3.1308,3.1307,3.1276
3.22104,3.1022,3.1833,3.1282,3.1313,3.1311,3.1282
3.22158,3.1027,3.1839,3.1292,3.1315,3.1314,3.1292
3.22212,3.1031,3.1844,3.13,3.1321,3.132,3.13
3.22266,3.1036,3.1849,3.1307,3.1326,3.1327,3.1307
3.2232,3.104,3.1856,3.1316,3.1334,3.1332,3.1316
