实际电压(V),容量(Ah),能量(Wh)
2.4996,330.1095,1056.863
2.5194,329.9796,1056.536
2.5413,329.8142,1056.118
2.5546,329.7047,1055.839
2.573,329.5389,1055.414
2.5842,329.4315,1055.137
2.5992,329.27,1054.719
2.6089,329.1628,1054.44
2.6227,329.0028,1054.021
2.6316,328.8965,1053.742
2.6439,328.7378,1053.324
2.6518,328.6328,1053.046
2.6628,328.4742,1052.624
2.67,328.3696,1052.345
2.6807,328.2131,1051.927
2.6878,328.1091,1051.648
2.6971,327.9536,1051.229
2.7038,327.8502,1050.95
2.7124,327.6955,1050.531
2.7185,327.5928,1050.252
2.7271,327.438,1049.831
2.7322,327.3356,1049.551
2.7402,327.1827,1049.133
2.7483,327.03,1048.714
2.7537,326.9286,1048.435
2.7608,326.7765,1048.016
2.7656,326.6756,1047.737
2.7722,326.5244,1047.319
2.7771,326.4237,1047.039
2.7832,326.2732,1046.621
2.7875,326.1729,1046.341
2.7942,326.0229,1045.923
2.7984,325.923,1045.644
2.8046,325.7735,1045.225
2.8082,325.674,1044.946
2.8137,325.5251,1044.527
2.8179,325.4262,1044.249
2.8233,325.2759,1043.825
2.8271,325.1772,1043.546
2.832,325.0278,1043.124
2.8358,324.9306,1042.848
2.8414,324.783,1042.429
2.8443,324.6848,1042.15
2.8494,324.5372,1041.73
2.8542,324.3903,1041.311
2.8571,324.2925,1041.032
2.8622,324.146,1040.613
2.8648,324.0486,1040.334
2.8695,323.9025,1039.915
2.8724,323.8052,1039.636
2.8772,323.6595,1039.217
2.8802,323.5625,1038.938
2.884,323.4172,1038.519
2.8868,323.3204,1038.24
2.8912,323.1754,1037.821
2.8938,323.0789,1037.542
2.898,322.9343,1037.123
2.9003,322.8379,1036.844
2.9042,322.6936,1036.425
2.9069,322.5975,1036.146
2.9105,322.4535,1035.727
2.9136,322.3577,1035.448
2.9169,322.2139,1035.029
2.9196,322.1183,1034.75
2.9231,321.9746,1034.331
2.9255,321.8793,1034.052
2.9288,321.7362,1033.633
2.932,321.5933,1033.215
2.9346,321.4981,1032.935
2.938,321.3555,1032.517
2.9401,321.2605,1032.237
2.9436,321.118,1031.818
2.9455,321.0232,1031.539
2.9485,320.8811,1031.121
2.9508,320.7864,1030.841
2.9539,320.6446,1030.423
2.9558,320.5498,1030.143
2.9586,320.4084,1029.725
2.9613,320.3126,1029.441
2.964,320.1713,1029.023
2.9658,320.0771,1028.743
2.9687,319.9359,1028.325
2.9706,319.8419,1028.045
2.9733,319.701,1027.627
2.9754,319.6071,1027.347
2.9777,319.4663,1026.928
2.9799,319.3727,1026.649
2.9828,319.2321,1026.231
2.9853,319.0918,1025.812
2.9872,318.9983,1025.533
2.9899,318.8581,1025.114
2.9914,318.7648,1024.835
2.994,318.6248,1024.416
2.9957,318.5315,1024.137
2.998,318.3917,1023.718
3.0001,318.2986,1023.439
3.0022,318.1591,1023.02
3.0038,318.066,1022.74
3.0063,317.9267,1022.322
3.0076,317.8338,1022.043
3.0103,317.6946,1021.624
3.0117,317.6019,1021.345
3.0139,317.4629,1020.926
3.0153,317.3702,1020.647
3.0181,317.2313,1020.228
3.0189,317.1389,1019.949
3.0212,317.0002,1019.53
3.0226,316.9078,1019.251
3.025,316.7692,1018.832
3.0271,316.6308,1018.413
3.0281,316.5385,1018.134
3.0304,316.4003,1017.715
3.0319,316.3081,1017.436
3.0339,316.1701,1017.017
3.0356,316.0783,1016.739
3.0369,315.94,1016.319
3.0386,315.8481,1016.04
3.0403,315.7104,1015.621
3.0413,315.6185,1015.342
3.0434,315.4797,1014.92
3.0445,315.3891,1014.644
3.0465,315.2515,1014.225
3.0474,315.1599,1013.946
3.0492,315.0225,1013.527
3.0505,314.9309,1013.248
3.0523,314.7936,1012.829
3.0533,314.7005,1012.545
3.0553,314.565,1012.131
3.0557,314.4737,1011.852
3.0574,314.3366,1011.433
3.0586,314.2454,1011.154
3.0606,314.1083,1010.735
3.0618,313.9715,1010.316
3.0627,313.8804,1010.037
3.0644,313.7432,1009.617
3.0649,313.652,1009.338
3.0665,313.5154,1008.919
3.0671,313.4244,1008.64
3.069,313.2873,1008.219
3.0694,313.1963,1007.94
3.0705,313.0598,1007.521
3.0715,312.969,1007.242
3.0725,312.8326,1006.823
3.0735,312.7418,1006.544
3.0745,312.6055,1006.125
3.0754,312.5147,1005.846
3.0764,312.3785,1005.427
3.0774,312.2878,1005.148
3.0779,312.1517,1004.729
3.0788,312.061,1004.45
3.0797,311.9249,1004.031
3.0807,311.8343,1003.752
3.0811,311.6983,1003.333
3.082,311.5624,1002.914
3.0832,311.4718,1002.635
3.0839,311.336,1002.216
3.0839,311.2453,1001.937
3.085,311.1096,1001.518
3.0856,311.0191,1001.239
3.0863,310.8833,1000.82
3.0867,310.7928,1000.541
3.0874,310.6572,1000.122
3.0879,310.5665,999.8423
3.0886,310.4311,999.4243
3.0893,310.3407,999.1452
3.0897,310.2051,998.7264
3.0898,310.1147,998.4471
3.0905,309.9792,998.0284
3.0913,309.8889,997.7491
3.0917,309.7534,997.3303
3.0919,309.663,997.051
3.0928,309.5272,996.6312
3.0926,309.4373,996.3531
3.0937,309.3018,995.9343
3.094,309.1664,995.5153
3.0942,309.0761,995.2361
3.0945,308.9408,994.8174
3.0949,308.8506,994.5382
3.0956,308.7153,994.1194
3.0959,308.6251,993.8402
3.0965,308.4898,993.4215
3.0966,308.3995,993.142
3.0972,308.2643,992.7232
3.0971,308.1741,992.4441
3.0977,308.0389,992.0253
3.0978,307.9488,991.7461
3.0984,307.8136,991.3273
3.0986,307.7234,991.0479
3.0989,307.5883,990.6294
3.0991,307.4982,990.35
3.0995,307.363,989.9312
3.0998,307.2729,989.652
3.1003,307.136,989.2276
3.1004,307.0458,988.9481
3.101,306.9108,988.5296
