工步时间,电压(V),容量(Ah),能量(Wh),系统记录时间,最大单体温度(℃)
0:00:01.000,3.4398,0.041911,0.144439,2025/09/26 19:44:29,32.8
0:00:02.000,3.4305,0.085478,0.294069,2025/09/26 19:44:30,32.7
0:00:03.000,3.4242,0.129307,0.44426,2025/09/26 19:44:31,32.7
0:00:04.000,3.4186,0.174052,0.597322,2025/09/26 19:44:32,32.7
0:00:05.000,3.4142,0.217576,0.745994,2025/09/26 19:44:33,32.7
0:00:06.000,3.4108,0.261274,0.895097,2025/09/26 19:44:34,32.7
0:00:07.000,3.4074,0.304841,1.043596,2025/09/26 19:44:35,32.7
0:00:08.000,3.4045,0.348452,1.192111,2025/09/26 19:44:36,32.7
0:00:09.000,3.4015,0.392019,1.340346,2025/09/26 19:44:37,32.7
0:00:10.000,3.399,0.435586,1.488468,2025/09/26 19:44:38,32.7
0:00:11.000,3.3965,0.480418,1.640769,2025/09/26 19:44:39,32.7
0:00:12.000,3.3943,0.523767,1.787934,2025/09/26 19:44:40,32.7
0:00:13.000,3.3923,0.567378,1.935891,2025/09/26 19:44:41,32.7
0:00:14.000,3.3901,0.610989,2.083759,2025/09/26 19:44:42,32.7
0:00:15.000,3.3883,0.654512,2.231242,2025/09/26 19:44:43,32.7
0:00:16.000,3.3862,0.697905,2.3782,2025/09/26 19:44:44,32.7
0:00:17.000,3.3844,0.741778,2.526701,2025/09/26 19:44:45,32.7
0:00:18.000,3.3827,0.785432,2.674392,2025/09/26 19:44:46,32.7
0:00:19.000,3.3811,0.828738,2.820832,2025/09/26 19:44:47,32.7
0:00:20.000,3.3797,0.87261,2.969116,2025/09/26 19:44:48,32.7
0:00:21.000,3.378,0.916221,3.116453,2025/09/26 19:44:49,32.7
0:00:22.000,3.3769,0.959832,3.263724,2025/09/26 19:44:50,32.7
0:00:23.000,3.3753,1.003486,3.411077,2025/09/26 19:44:51,32.7
0:00:24.000,3.3736,1.047097,3.558229,2025/09/26 19:44:52,32.7
0:00:25.000,3.3726,1.090708,3.705316,2025/09/26 19:44:53,32.7
0:00:26.000,3.3713,1.134275,3.852198,2025/09/26 19:44:54,32.7
0:00:27.000,3.3699,1.177886,3.999168,2025/09/26 19:44:55,32.7
0:00:28.000,3.3689,1.221497,4.146086,2025/09/26 19:44:56,32.7
0:00:29.000,3.3676,1.265151,4.293095,2025/09/26 19:44:57,32.7
0:00:30.000,3.3665,1.308806,4.440055,2025/09/26 19:44:58,32.7
0:00:31.000,3.3653,1.352329,4.586528,2025/09/26 19:44:59,32.7
0:00:32.000,3.3639,1.395897,4.733096,2025/09/26 19:45:00,32.7
0:00:33.000,3.3631,1.438941,4.877853,2025/09/26 19:45:01,32.7
0:00:34.000,3.362,1.483249,5.02682,2025/09/26 19:45:02,32.7
0:00:35.000,3.3609,1.526816,5.173238,2025/09/26 19:45:03,32.7
0:00:36.000,3.3599,1.570427,5.319771,2025/09/26 19:45:04,32.7
0:00:37.000,3.3589,1.614038,5.466247,2025/09/26 19:45:05,32.7
0:00:38.000,3.3579,1.657649,5.612682,2025/09/26 19:45:06,32.7
0:00:39.000,3.3567,1.700562,5.756733,2025/09/26 19:45:07,32.7
0:00:40.000,3.3558,1.744827,5.90528,2025/09/26 19:45:08,32.7
0:00:41.000,3.3551,1.788481,6.051742,2025/09/26 19:45:09,32.7
0:00:42.000,3.3543,1.832092,6.198013,2025/09/26 19:45:10,32.7
0:00:43.000,3.3532,1.875616,6.343951,2025/09/26 19:45:11,32.7
0:00:44.000,3.3524,1.91927,6.490284,2025/09/26 19:45:12,32.7
0:00:45.000,3.3514,1.962881,6.636437,2025/09/26 19:45:13,32.7
0:00:46.000,3.3504,2.006536,6.782698,2025/09/26 19:45:14,32.7
0:00:47.000,3.3497,2.050146,6.928769,2025/09/26 19:45:15,32.7
0:00:48.000,3.3487,2.093714,7.074662,2025/09/26 19:45:16,32.7
0:00:49.000,3.3481,2.137368,7.220813,2025/09/26 19:45:17,32.7
0:00:50.000,3.3473,2.179888,7.363131,2025/09/26 19:45:18,32.7
0:00:51.000,3.3461,2.224677,7.513003,2025/09/26 19:45:19,32.7
0:00:52.000,3.3457,2.268157,7.658463,2025/09/26 19:45:20,32.7
0:00:53.000,3.3447,2.311811,7.804476,2025/09/26 19:45:21,32.7
0:00:54.000,3.344,2.355422,7.950307,2025/09/26 19:45:22,32.7
0:00:55.000,3.3434,2.399033,8.096101,2025/09/26 19:45:23,32.7
0:00:56.000,3.3426,2.4426,8.241717,2025/09/26 19:45:24,32.7
0:00:57.000,3.3417,2.486255,8.387585,2025/09/26 19:45:25,32.7
0:00:58.000,3.3408,2.529866,8.533286,2025/09/26 19:45:26,32.7
0:00:59.000,3.3403,2.573433,8.678801,2025/09/26 19:45:27,32.7
0:01:00.000,3.3399,2.617174,8.824873,2025/09/26 19:45:28,32.7
0:01:01.000,3.3389,2.660655,8.970045,2025/09/26 19:45:29,32.7
0:01:02.000,3.3384,2.704309,9.115764,2025/09/26 19:45:30,32.7
0:01:03.000,3.3375,2.747876,9.261158,2025/09/26 19:45:31,32.7
0:01:04.000,3.3368,2.791487,9.406669,2025/09/26 19:45:32,32.7
0:01:05.000,3.3363,2.835098,9.552146,2025/09/26 19:45:33,32.7
0:01:06.000,3.3352,2.878752,9.69774,2025/09/26 19:45:34,32.6
0:01:07.000,3.3347,2.922363,9.843176,2025/09/26 19:45:35,32.6
0:01:08.000,3.334,2.96593,9.988429,2025/09/26 19:45:36,32.6
0:01:09.000,3.3332,3.009541,10.133785,2025/09/26 19:45:37,32.6
0:01:10.000,3.3328,3.053239,10.279408,2025/09/26 19:45:38,32.6
0:01:11.000,3.332,3.095236,10.419343,2025/09/26 19:45:39,32.6
0:01:12.000,3.3317,3.140461,10.569993,2025/09/26 19:45:40,32.6
0:01:13.000,3.3311,3.184028,10.715106,2025/09/26 19:45:41,32.6
0:01:14.000,3.3304,3.227639,10.860339,2025/09/26 19:45:42,32.6
0:01:15.000,3.3298,3.271206,11.005388,2025/09/26 19:45:43,32.6
0:01:16.000,3.3291,3.314817,11.150555,2025/09/26 19:45:44,32.6
0:01:17.000,3.3284,3.358428,11.295696,2025/09/26 19:45:45,32.6
0:01:18.000,3.3278,3.402039,11.440816,2025/09/26 19:45:46,32.6
0:01:19.000,3.3275,3.445649,11.58591,2025/09/26 19:45:47,32.6
0:01:20.000,3.3268,3.489304,11.731134,2025/09/26 19:45:48,32.6
0:01:21.000,3.3264,3.532871,11.876037,2025/09/26 19:45:49,32.6
0:01:22.000,3.3256,3.576569,12.021345,2025/09/26 19:45:50,32.6
0:01:23.000,3.3251,3.620136,12.166197,2025/09/26 19:45:51,32.6
0:01:24.000,3.3244,3.663747,12.311165,2025/09/26 19:45:52,32.6
0:01:25.000,3.3236,3.707314,12.455969,2025/09/26 19:45:53,32.6
0:01:26.000,3.3234,3.750882,12.600743,2025/09/26 19:45:54,32.6
0:01:27.000,3.3226,3.794536,12.745798,2025/09/26 19:45:55,32.6
0:01:28.000,3.3221,3.838191,12.890818,2025/09/26 19:45:56,32.6
0:01:29.000,3.3215,3.881845,13.035811,2025/09/26 19:45:57,32.6
0:01:30.000,3.321,3.925412,13.180497,2025/09/26 19:45:58,32.6
0:01:31.000,3.3205,3.968979,13.325149,2025/09/26 19:45:59,32.6
0:01:32.000,3.3203,4.01259,13.469936,2025/09/26 19:46:00,32.6
0:01:33.000,3.3195,4.056201,13.614691,2025/09/26 19:46:01,32.6
0:01:34.000,3.3191,4.099855,13.759578,2025/09/26 19:46:02,32.6
0:01:35.000,3.3185,4.143423,13.90414,2025/09/26 19:46:03,32.6
0:01:36.000,3.318,4.187077,14.048984,2025/09/26 19:46:04,32.6
0:01:37.000,3.3177,4.230601,14.193358,2025/09/26 19:46:05,32.6
0:01:38.000,3.3169,4.274299,14.338299,2025/09/26 19:46:06,32.6
0:01:39.000,3.3166,4.31791,14.482914,2025/09/26 19:46:07,32.6
0:01:40.000,3.316,4.361477,14.627383,2025/09/26 19:46:08,32.6
0:01:41.000,3.3156,4.405131,14.772111,2025/09/26 19:46:09,32.6
0:01:42.000,3.315,4.448742,14.916678,2025/09/26 19:46:10,32.6
0:01:43.000,3.3146,4.492353,15.061218,2025/09/26 19:46:11,32.6
0:01:44.000,3.3142,4.535964,15.205744,2025/09/26 19:46:12,32.6
0:01:45.000,3.3136,4.579575,15.350248,2025/09/26 19:46:13,32.6
0:01:46.000,3.3131,4.623055,15.494298,2025/09/26 19:46:14,32.6
0:01:47.000,3.3128,4.666709,15.638914,2025/09/26 19:46:15,32.6
0:01:48.000,3.3124,4.710407,15.783642,2025/09/26 19:46:16,32.6
0:01:49.000,3.3121,4.754018,15.928076,2025/09/26 19:46:17,32.6
0:01:50.000,3.3116,4.797629,16.072475,2025/09/26 19:46:18,32.6
0:01:51.000,3.311,4.841458,16.217579,2025/09/26 19:46:19,32.6
0:01:52.000,3.3107,4.884807,16.361074,2025/09/26 19:46:20,32.6
0:01:53.000,3.3101,4.9282,16.504704,2025/09/26 19:46:21,32.6
0:01:54.000,3.3097,4.972072,16.649893,2025/09/26 19:46:22,32.6
0:01:55.000,3.3092,5.015596,16.793913,2025/09/26 19:46:23,32.6
0:01:56.000,3.3089,5.059294,16.938501,2025/09/26 19:46:24,32.6
0:01:57.000,3.3087,5.102905,17.082766,2025/09/26 19:46:25,32.6
0:01:58.000,3.3079,5.146515,17.227028,2025/09/26 19:46:26,32.6
0:01:59.000,3.3077,5.190126,17.371258,2025/09/26 19:46:27,32.6
0:02:00.000,3.307,5.233737,17.515478,2025/09/26 19:46:28,32.6
0:02:01.000,3.3066,5.277348,17.659681,2025/09/26 19:46:29,32.6
0:02:02.000,3.3063,5.320959,17.80386,2025/09/26 19:46:30,32.6
0:02:03.000,3.3059,5.36457,17.948032,2025/09/26 19:46:31,32.6
0:02:04.000,3.3054,5.408181,18.092173,2025/09/26 19:46:32,32.6
0:02:05.000,3.3054,5.451791,18.236307,2025/09/26 19:46:33,32.6
0:02:06.000,3.3045,5.495402,18.380421,2025/09/26 19:46:34,32.6
0:02:07.000,3.3045,5.539013,18.524509,2025/09/26 19:46:35,32.6
0:02:08.000,3.304,5.582624,18.6686,2025/09/26 19:46:36,32.6
0:02:09.000,3.3034,5.626235,18.812653,2025/09/26 19:46:37,32.6
0:02:10.000,3.3033,5.669846,18.956699,2025/09/26 19:46:38,32.6
0:02:11.000,3.3028,5.713456,19.100735,2025/09/26 19:46:39,32.6
0:02:12.000,3.3024,5.757067,19.244738,2025/09/26 19:46:40,32.6
0:02:13.000,3.3024,5.800634,19.388597,2025/09/26 19:46:41,32.6
0:02:14.000,3.3017,5.844289,19.532711,2025/09/26 19:46:42,32.6
0:02:15.000,3.3015,5.8879,19.67667,2025/09/26 19:46:43,32.6
0:02:16.000,3.3011,5.931467,19.820484,2025/09/26 19:46:44,32.6
0:02:17.000,3.3007,5.975121,19.96455,2025/09/26 19:46:45,32.6
0:02:18.000,3.3003,6.018689,20.108322,2025/09/26 19:46:46,32.6
0:02:19.000,3.3001,6.062299,20.252237,2025/09/26 19:46:47,32.6
0:02:20.000,3.2996,6.105954,20.396267,2025/09/26 19:46:48,32.6
0:02:21.000,3.2993,6.149565,20.540138,2025/09/26 19:46:49,32.6
0:02:22.000,3.2991,6.193175,20.684011,2025/09/26 19:46:50,32.6
0:02:23.000,3.2987,6.236743,20.8277,2025/09/26 19:46:51,32.6
0:02:24.000,3.2983,6.280397,20.971672,2025/09/26 19:46:52,32.6
0:02:25.000,3.2981,6.323965,21.115351,2025/09/26 19:46:53,32.6
0:02:26.000,3.2977,6.367619,21.259287,2025/09/26 19:46:54,32.6
0:02:27.000,3.2974,6.41123,21.403072,2025/09/26 19:46:55,32.6
0:02:28.000,3.2969,6.454797,21.546705,2025/09/26 19:46:56,32.6
0:02:29.000,3.2968,6.498451,21.69059,2025/09/26 19:46:57,32.6
0:02:30.000,3.2965,6.542018,21.834188,2025/09/26 19:46:58,32.6
0:02:31.000,3.2961,6.585629,21.977928,2025/09/26 19:46:59,32.6
0:02:32.000,3.2958,6.62924,22.121635,2025/09/26 19:47:00,32.6
0:02:33.000,3.2954,6.672851,22.265333,2025/09/26 19:47:01,32.6
0:02:34.000,3.2953,6.716506,22.409176,2025/09/26 19:47:02,32.6
0:02:35.000,3.2949,6.760073,22.552706,2025/09/26 19:47:03,32.6
0:02:36.000,3.2946,6.803684,22.69636,2025/09/26 19:47:04,32.6
0:02:37.000,3.2942,6.847294,22.840014,2025/09/26 19:47:05,32.6
0:02:38.000,3.2939,6.890949,22.983801,2025/09/26 19:47:06,32.6
0:02:39.000,3.2936,6.93456,23.127411,2025/09/26 19:47:07,32.6
0:02:40.000,3.2933,6.97817,23.271021,2025/09/26 19:47:08,32.6
0:02:41.000,3.2933,7.021694,23.414345,2025/09/26 19:47:09,32.6
0:02:42.000,3.2929,7.065392,23.558216,2025/09/26 19:47:10,32.6
0:02:43.000,3.2925,7.108959,23.701639,2025/09/26 19:47:11,32.6
0:02:44.000,3.2923,7.15257,23.845205,2025/09/26 19:47:12,32.6
0:02:45.000,3.2921,7.196181,23.988768,2025/09/26 19:47:13,32.6
0:02:46.000,3.2917,7.239792,24.132296,2025/09/26 19:47:14,32.6
0:02:47.000,3.2914,7.283403,24.27582,2025/09/26 19:47:15,32.6
0:02:48.000,3.2911,7.327013,24.419342,2025/09/26 19:47:16,32.6
0:02:49.000,3.2907,7.370668,24.562986,2025/09/26 19:47:17,32.6
0:02:50.000,3.2907,7.414279,24.706467,2025/09/26 19:47:18,32.6
0:02:51.000,3.2904,7.45789,24.849947,2025/09/26 19:47:19,32.6
0:02:52.000,3.2902,7.501544,24.99357,2025/09/26 19:47:20,32.6
0:02:53.000,3.2899,7.545111,25.136898,2025/09/26 19:47:21,32.6
0:02:54.000,3.2897,7.588722,25.280336,2025/09/26 19:47:22,32.6
0:02:55.000,3.2893,7.632289,25.42363,2025/09/26 19:47:23,32.6
0:02:56.000,3.2891,7.67529,25.565058,2025/09/26 19:47:24,32.6
0:02:57.000,3.2889,7.719555,25.710634,2025/09/26 19:47:25,32.6
0:02:58.000,3.2888,7.763165,25.854027,2025/09/26 19:47:26,32.6
0:02:59.000,3.2885,7.804727,25.990679,2025/09/26 19:47:27,32.5
0:03:00.000,3.2884,7.850387,26.140812,2025/09/26 19:47:28,32.5
0:03:01.000,3.2879,7.894042,26.28434,2025/09/26 19:47:29,32.5
0:03:02.000,3.2877,7.937609,26.427547,2025/09/26 19:47:30,32.5
0:03:03.000,3.2875,7.98122,26.570896,2025/09/26 19:47:31,32.5
0:03:04.000,3.2873,8.024787,26.714102,2025/09/26 19:47:32,32.5
0:03:05.000,3.287,8.068441,26.857595,2025/09/26 19:47:33,32.5
0:03:06.000,3.2868,8.112052,27.000912,2025/09/26 19:47:34,32.5
0:03:07.000,3.2867,8.15562,27.144075,2025/09/26 19:47:35,32.5
0:03:08.000,3.2865,8.19923,27.28738,2025/09/26 19:47:36,32.5
0:03:09.000,3.2862,8.242841,27.430685,2025/09/26 19:47:37,32.5
0:03:10.000,3.2861,8.286714,27.574844,2025/09/26 19:47:38,32.5
0:03:11.000,3.2859,8.330543,27.718834,2025/09/26 19:47:39,32.5
0:03:12.000,3.2854,8.374109,27.861952,2025/09/26 19:47:40,32.5
0:03:13.000,3.2853,8.417721,28.005215,2025/09/26 19:47:41,32.5
0:03:14.000,3.2851,8.461331,28.148476,2025/09/26 19:47:42,32.5
0:03:15.000,3.2849,8.504767,28.291149,2025/09/26 19:47:43,32.5
0:03:16.000,3.2849,8.54864,28.435234,2025/09/26 19:47:44,32.5
0:03:17.000,3.2845,8.592164,28.578165,2025/09/26 19:47:45,32.5
0:03:18.000,3.2845,8.635818,28.721525,2025/09/26 19:47:46,32.5
0:03:19.000,3.2842,8.679385,28.864601,2025/09/26 19:47:47,32.5
0:03:20.000,3.2839,8.722997,29.007799,2025/09/26 19:47:48,32.5
0:03:21.000,3.284,8.766607,29.15099,2025/09/26 19:47:49,32.5
0:03:22.000,3.2837,8.810262,29.294306,2025/09/26 19:47:50,32.5
0:03:23.000,3.2835,8.853872,29.437481,2025/09/26 19:47:51,32.5
0:03:24.000,3.2831,8.897483,29.580654,2025/09/26 19:47:52,32.5
0:03:25.000,3.283,8.941007,29.723536,2025/09/26 19:47:53,32.5
0:03:26.000,3.283,8.984618,29.866684,2025/09/26 19:47:54,32.5
0:03:27.000,3.2827,9.028229,30.009817,2025/09/26 19:47:55,32.5
0:03:28.000,3.2826,9.071883,30.153091,2025/09/26 19:47:56,32.5
